filename|document_id|has_extracted_metadata|abstract|author_surnames|authors|document_type|doi|extraction_method|file_path|harvard_citation|keywords|language|llm_extracted|original_filename|publication_date|publisher|source_url|title|uploaded_via
Product design_ Fundamentals and methods_ N_F_M_ Roozenburg -- J_A_ Stoop -- Safety Science, #3, 24, pages 233-236, 1996 dec -- Elsevier Science; -- 10_1016_s0925-7535(97)81485-3.pdf|7893ada7-0c39-48b2-b413-e600b5e14a3f|Yes||Roozenburg; Eekels|N.F.M. Roozenburg; J. Eekels|book||llm_analysis|/home/appuser/app/uploads/339c76c7-4ab1-41f2-97e6-2721058d536b.pdf||product design; design methodology; product development; design process; innovation|English|True|Product design_ Fundamentals and methods_ N_F_M_ Roozenburg -- J_A_ Stoop -- Safety Science, #3, 24, pages 233-236, 1996 dec -- Elsevier Science; -- 10_1016_s0925-7535(97)81485-3.pdf|1995|Wiley||Product Design: Fundamentals and Methods|api_v2
Organizational behavior.pdf|095723b5-82a7-4ac8-9660-5ca73d7dbb5e|Yes||Ivancevich; Konopaske; Matteson|John M. Ivancevich; Robert Konopaske; Michael T. Matteson|||llm_analysis|/home/appuser/app/uploads/f129f637-20dc-4e6f-881e-6ab42755e6cf.pdf||Organizational Behavior; Management||True|Organizational behavior.pdf||C. T. Bauer College of Business, University of Houston||Organizational Behavior and Management|api_v2
Wiring the Winning Organization - Gene Kim & Steven J. Spear.pdf|4c40a1f0-d474-49ab-a2f9-a347e709d8b8|Yes||Kim; Spear|Gene Kim; Steven J. Spear|||llm_analysis|/home/appuser/app/uploads/fec07700-e8a1-47bd-9125-31f1ea36d02d.pdf||organization; leadership; complexity; resilience; adaptive; blueprint; transformation|English|True|Wiring the Winning Organization - Gene Kim & Steven J. Spear.pdf||||Wiring the Winning Organization|api_v2
A Guide to the Project Management Body of Knowledge (PMBOK -- Project Management Institute -- 7th Revised, 2021.pdf|7310b0ba-53e3-4a06-990d-f38fa64d3e79|Yes||Project Management Institute|Project Management Institute|Guide||llm_analysis|/home/appuser/app/uploads/054417fd-5425-4109-acee-0ed6d61887f7.pdf||project management; PMBOK® GUIDE; standard; body of knowledge||True|A Guide to the Project Management Body of Knowledge (PMBOK -- Project Management Institute -- 7th Revised, 2021.pdf||Project Management Institute||The standard for project management and a guide to the project management body of knowledge (PMBOK® GUIDE) Seventh Edition|api_v2
TriumphOfLean ProductionSystem.pdf|9760baa2-b09f-4c7b-b787-c9bb19203274|Yes|The article challenges the myth that productivity and quality in the auto industry are determined by location, highlighting the importance of corporate culture and 'lean' production policies.|Krafcik; Laucio|John F. Krafcik; Tumph Laucio|research paper||llm_analysis|/home/appuser/app/uploads/81f65e66-2c27-46bb-b67c-c928256127bd.pdf|Krafcik, J. F. & Laucio, T. (1988) ‘Triumph of the Lean Production System’, *Management Review*, 30(1), pp. 41.|lean production; auto industry; productivity; quality; assembly plant|English|True|TriumphOfLean ProductionSystem.pdf|1988-04|Massachusetts Institute of Technology SLOAN||Triumph of the Lean Production System|api_v2
Systems Engineering and Analysis Pearson New International -- Benjamin S_ Blanchard, Wolter J_ Fabrycky.pdf|091b611b-2cfd-4a87-88f4-5d3f45f58cad|Yes||Blanchard; Fabrycky|Blanchard; Fabrycky|||llm_analysis|/home/appuser/app/uploads/794b074e-4e71-40aa-9592-01de16b73754.pdf||||True|Systems Engineering and Analysis Pearson New International -- Benjamin S_ Blanchard, Wolter J_ Fabrycky.pdf||||Systems Engineering and Analysis|api_v2
Competitive Advantage of Nations - Michael E. Porter.pdf|3a7e0a33-bfe2-45be-8071-ec420004bdfb|Yes||Porter|Michael E. Porter|||llm_analysis|/home/appuser/app/uploads/e4e607c0-dec6-47d5-9322-d38238ea8080.pdf||competitive advantage; performance; strategy||True|Competitive Advantage of Nations - Michael E. Porter.pdf|1985|||Competitive Advantage: Creating and Sustaining Superior Performance|api_v2
Toyota Way _ 14 Management Principles from the World's Greatest Manufacturer, The - Jeffrey Liker.pdf|67cabbfd-8fbf-45ec-9549-38a90bea8722|Yes||Liker|Jeffrey K. Liker|book||llm_analysis|/home/appuser/app/uploads/6828a6f2-7bb8-4a37-a1e4-c71ced3b7abe.pdf||Toyota; Toyota Way; Management Principles; Manufacturing; Lean Manufacturing|English|True|Toyota Way _ 14 Management Principles from the World's Greatest Manufacturer, The - Jeffrey Liker.pdf||McGraw-Hill||The Toyota Way 14 Management Principles from the World's Greatest Manufacturer|api_v2
McGregor_The_Human_Side_of_Enterprise.pdf|0f5a3d0d-fde5-429b-a840-ba6b64707765|Yes|The text discusses the potential of social sciences to improve human organizations and compares it to the development of atomic energy. It suggests that current conceptions of human nature are inadequate and that new knowledge could unlock creative human energy within organizations.|Leavitt; Pondy; Boje|Harold J. Leavitt; Louis R. Pondy; David M. Boje|report||llm_analysis|/home/appuser/app/uploads/2a5906a7-506a-4970-9031-8ebae742d272.pdf|Leavitt, H. J., Pondy, L. R. & Boje, D. M. (1966) Readings in Managerial Psychology. The M.I.T. Press.|managerial psychology; human side of enterprise; management; social sciences; human organizations|English|True|McGregor_The_Human_Side_of_Enterprise.pdf|1966|The M.I.T. Press||Readings in Managerial Psychology|api_v2
Keko, Prevo & Stremersch (Book Chapter, 2018).pdf|646224ad-bc6b-4b79-9c77-7f70a5ada5f3|Yes||Keko; Prevo; Stremersch|Elio Keko; Gert Jan Prevo; Stefan Stremersch|||llm_analysis|/home/appuser/app/uploads/96881849-03ff-4774-8d97-ed3ae9cb78da.pdf||innovation; business model; product innovation; service innovation; process innovation|English|True|Keko, Prevo & Stremersch (Book Chapter, 2018).pdf||||The what, who and how of innovation generation|api_v2
Research Design_ Qualitative, Quantitative, and Mixed -- John W_ Creswell, David J_ Creswell -- 6th, 2023 -- SAGE Publications.pdf|bea2d905-8edd-4c6b-b30a-ddde28bed82d|Yes||||||llm_analysis|/home/appuser/app/uploads/c2496a35-169c-4209-8eed-d2a01a24b6e9.pdf||research design; qualitative; quantitative; mixed methods|English|True|Research Design_ Qualitative, Quantitative, and Mixed -- John W_ Creswell, David J_ Creswell -- 6th, 2023 -- SAGE Publications.pdf||SAGE Publishing||RESEARCH DESIGN Qualitative, Quantitative, and Mixed Methods Approaches|api_v2
Team Topologies_ Organizing Business and Technology Teams for Fast Flow - Matthew Skelton & Manuel Pais.pdf|fa5bee04-9b62-493e-8c7c-6353cf15b73d|Yes||Skelton; Pais|Matthew Skelton; Manuel Pais|||llm_analysis|/home/appuser/app/uploads/89f76ed4-dd91-4830-bf6e-5b13435d8dbb.pdf||teams; organization; digital economy; DevOps; SRE; team organization; team design; high-performance teams|English|True|Team Topologies_ Organizing Business and Technology Teams for Fast Flow - Matthew Skelton & Manuel Pais.pdf||||TEAM TOPOLOGIES|api_v2
